TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS
I,O,2,told,ARG2,PRP,
'm,O,_,_,_,_,' m
told,O,2,told,ROOT,VBN,
that,O,_,_,_,_,
it,O,6,open,ARG1,PRP,
is,O,_,_,_,_,
open,O,2,told,ARG3,JJ,
24hrs,O,10~2,good~told,ARG1~ARG2,NNS,24 ##hr ##s
which,O,_,_,_,_,
is,O,_,_,_,_,
good,B-OP,_,_,_,JJ,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,DT,
food,B-ASP,0~3,The~outstanding,BV~ARG1,NN,
is,O,_,_,_,_,
outstanding,B-OP,3,outstanding,ROOT,JJ,
and,O,_,_,_,_,
the,O,_,_,_,DT,
service,B-ASP,8~5~13~10,quick~the~professional~friendly,ARG1~BV~ARG1~ARG1,NN,
is,O,_,_,_,_,
quick,B-OP,3,outstanding,_and_c,JJ,
",",O,_,_,_,_,
friendly,B-OP,8,quick,conj,JJ,
and,O,_,_,_,_,
very,O,_,_,_,RB,
professional,B-OP,10~12,friendly~very,_and_c~ARG1,JJ,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Their,O,_,_,_,PRP$,
eggplant,B-ASP,7~0,tender~Their,ARG1~poss,NN,egg ##pl ##ant
is,O,_,_,_,_,
so,O,_,_,_,RB,
delicate,B-OP,3,so,comp_so,JJ,
",",O,_,_,_,_,
sweet,B-OP,_,_,_,JJ,
tender,O,6~4~7,sweet~delicate~tender,ARG1~ARG1~ROOT,NN,
!,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
Mistakes,O,1,happen,ARG1,NNS,
happen,O,1,happen,ROOT,VBP,
",",O,_,_,_,_,
but,O,_,_,_,_,
they,O,7,accompanied,ARG2,PRP,
are,O,_,_,_,_,
usually,O,1,happen,_but_c,RB,
accompanied,O,6,usually,ARG1,VBN,
by,O,_,_,_,_,
an,O,_,_,_,DT,
apology,O,9~7,an~accompanied,BV~ARG1,NN,
",",O,_,_,_,_,
perhaps,O,_,_,_,_,
even,O,_,_,_,RB,
a,O,13,even,ARG1,DT,
glass,O,14~10,a~apology,BV~_not_c,NN,
of,O,_,_,_,_,
wine,O,15,glass,ARG1,NN,
...,O,_,_,_,_,. . .
but,O,_,_,_,_,
not,O,_,_,_,_,
the,O,_,_,_,DT,
grunt,O,15~21~25,glass~the~received,_but+not_c~BV~ARG2,NN,
that,O,_,_,_,_,
we,O,25,received,ARG1,PRP,
received,O,26,from,ARG1,VBD,
from,O,_,_,_,IN,
the,O,_,_,_,DT,
Al,O,_,_,_,NNP,
Di,O,_,_,_,NNP,
La,O,28~29,Al~Di,compound~compound,NNP,
staff,B-ASP,27~26~30,the~from~La,BV~ARG2~compound,NN,
.,O,_,_,_,.,
_,_,_,_,_,_,_
_,_,_,_,_,_,_
The,O,_,_,_,DT,
atmosphere,B-ASP,0~2,The~is,BV~ARG1,NN,
is,O,3,n't,neg,VBZ,
n't,O,3,n't,ROOT,JJ,n ' t
the,O,_,_,_,_,
greatest,B-OP,_,_,_,_,
",",O,_,_,_,_,
but,O,_,_,_,_,
I,O,9,suppose,ARG1,PRP,
suppose,O,2,is,_but_c,VBP,
that,O,11,'s,ARG1,WDT,
's,O,9,suppose,ARG2,NNS,' s
