TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,AUX_TASK
stayed,O,0,stayed,ROOT,_,,O
up,O,0,stayed,prt,_,,O
all,O,3,night,det,_,,O
night,O,0,stayed,npadvmod,_,,O
trying,O,0,stayed,advcl,_,,O
to,O,6,figure,aux,_,,O
figure,O,4,trying,xcomp,_,,O
out,O,6,figure,prt,_,,O
that,O,9,thing,det,_,,O
thing,O,6,figure,dobj,_,,O
.,O,0,stayed,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1,decided,nsubj,_,,O
decided,O,1,decided,ROOT,_,,O
to,O,3,check,aux,_,,O
check,O,1,decided,xcomp,_,,O
one,O,6,thing,nummod,_,,O
more,O,6,thing,amod,_,,O
thing,O,3,check,dobj,_,,O
though,O,3,check,advmod,_,,O
and,O,3,check,cc,_,,O
plugged,O,3,check,conj,_,plug ##ged,O
in,O,9,plugged,prt,_,,O
my,O,15,unit,poss,_,,O
3-year,O,14,old,npadvmod,_,3 - year,O
-,O,14,old,punct,_,,O
old,O,15,unit,amod,_,,O
unit,O,9,plugged,dobj,_,,O
again,O,9,plugged,advmod,_,,O
just,O,19,see,advmod,_,,O
to,O,19,see,aux,_,,O
see,O,9,plugged,advcl,_,,O
.,O,1,decided,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1,saw,nsubj,_,,O
saw,O,1,saw,ROOT,_,,O
another,O,3,review,det,_,,O
review,O,4,saying,nsubj,_,,O
saying,O,1,saw,ccomp,_,,O
his,O,7,gripe,poss,_,,O
only,O,7,gripe,amod,_,,O
gripe,O,8,was,nsubj,_,grip ##e,O
was,O,4,saying,ccomp,_,,O
a,O,10,lack,det,_,,O
lack,O,8,was,attr,_,,O
of,O,10,lack,prep,_,,O
voice,O,13,dialing,compound,_,,O
dialing,O,11,of,pobj,_,dial ##ing,O
.,O,1,saw,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
the,O,1,speakerphone,det,_,,O
speakerphone,B-ASP,7,features,nsubj,_,speaker ##phone,AT-Head
",",O,1,speakerphone,punct,_,,O
the,O,4,radio,det,_,,O
radio,B-ASP,1,speakerphone,appos,_,,AT-W\O-Path
",",O,7,features,punct,_,,O
all,O,7,features,nsubj,_,,O
features,O,7,features,ROOT,_,,O
work,O,7,features,dobj,_,,O
perfectly,B-OP,7,features,advmod,_,,"1###[""OT"", ""advmod^-1"", ""*"", ""nsubj"", ""ASP""]"
.,O,7,features,punct,_,,O
_,_,_,_,_,_,_
_,_,_,_,_,_,_
i,O,1,tried,nsubj,_,,O
tried,O,1,tried,ROOT,_,,O
as,O,1,tried,prep,_,,O
bunch,O,2,as,pobj,_,,O
of,O,3,bunch,prep,_,,O
different,O,6,formats,amod,_,,O
