Term,Polarity,Score,UsedForAcquisition,UsedForReranking
abnormal,NEG,1,Y,
abolish,NEG,1,Y,
abominable,NEG,1,Y,
abominably,NEG,1,Y,
abominate,NEG,1,Y,
abomination,NEG,1,Y,
abort,NEG,1,Y,
aborted,NEG,1,Y,
aborts,NEG,1,Y,
abound,POS,1,Y,
abounds,POS,1,Y,
abrade,NEG,1,Y,
abrasive,NEG,1,Y,
abrupt,NEG,1,Y,
abruptly,NEG,1,Y,
abscond,NEG,1,Y,
absence,NEG,1,Y,
absentee,NEG,1,Y,
absurd,NEG,1,Y,
absurdity,NEG,1,Y,
absurdly,NEG,1,Y,
absurdness,NEG,1,Y,
abundance,POS,1,Y,
abundant,POS,1,Y,
abuse,NEG,1,Y,
abused,NEG,1,Y,
abuses,NEG,1,Y,
abusive,NEG,1,Y,
abysmal,NEG,1,Y,
abysmally,NEG,1,Y,
abyss,NEG,1,Y,
accessable,POS,1,Y,
accessible,POS,1,Y,
accidental,NEG,1,Y,
acclaim,POS,1,Y,
acclaimed,POS,1,Y,
acclamation,POS,1,Y,
accolade,POS,1,Y,
accolades,POS,1,Y,
accommodative,POS,1,Y,
accomodative,POS,1,Y,
accomplish,POS,1,Y,
accomplished,POS,1,Y,
accomplishment,POS,1,Y,
accomplishments,POS,1,Y,
accost,NEG,1,Y,
accurate,POS,1,Y,
accurately,POS,1,Y,
accursed,NEG,1,Y,
accusation,NEG,1,Y,
accusations,NEG,1,Y,
accuse,NEG,1,Y,
accuses,NEG,1,Y,
accusing,NEG,1,Y,
accusingly,NEG,1,Y,
acerbate,NEG,1,Y,
acerbic,NEG,1,Y,
acerbically,NEG,1,Y,
ache,NEG,1,Y,
ached,NEG,1,Y,
aches,NEG,1,Y,
achey,NEG,1,Y,
achievable,POS,1,Y,
achievement,POS,1,Y,
achievements,POS,1,Y,
achievible,POS,1,Y,
aching,NEG,1,Y,
acrid,NEG,1,Y,
acridly,NEG,1,Y,
acridness,NEG,1,Y,
acrimonious,NEG,1,Y,
acrimoniously,NEG,1,Y,
acrimony,NEG,1,Y,
acumen,POS,1,Y,
adamant,NEG,1,Y,
adamantly,NEG,1,Y,
adaptable,POS,1,Y,
adaptive,POS,1,Y,
addict,NEG,1,Y,
addicted,NEG,1,Y,
addicting,NEG,1,Y,
addicts,NEG,1,Y,
adequate,POS,1,Y,
adjustable,POS,1,Y,
admirable,POS,1,Y,Y
admirably,POS,1,Y,
admiration,POS,1,Y,
admire,POS,1,,Y
admirer,POS,1,Y,
admiring,POS,1,Y,
admiringly,POS,1,Y,
admonish,NEG,1,Y,
admonisher,NEG,1,Y,
admonishingly,NEG,1,Y,
admonishment,NEG,1,Y,
admonition,NEG,1,Y,
adorable,POS,1,Y,Y
adore,POS,1,Y,
adored,POS,1,Y,
adorer,POS,1,Y,
adoring,POS,1,Y,
adoringly,POS,1,Y,
adroit,POS,1,Y,
adroitly,POS,1,Y,
adulate,POS,1,Y,
adulation,POS,1,Y,
adulatory,POS,1,Y,
adulterate,NEG,1,Y,
adulterated,NEG,1,Y,
adulteration,NEG,1,Y,
adulterier,NEG,1,Y,
advanced,POS,1,Y,
advantage,POS,1,,Y
advantageous,POS,1,Y,
advantageously,POS,1,Y,
advantages,POS,1,Y,
adventuresome,POS,1,Y,
adventurous,POS,1,Y,
adversarial,NEG,1,Y,
adversary,NEG,1,Y,
adverse,NEG,1,Y,
adversity,NEG,1,Y,
advocate,POS,1,Y,
advocated,POS,1,Y,
advocates,POS,1,Y,
affability,POS,1,Y,
affable,POS,1,Y,
affably,POS,1,Y,
affectation,POS,1,Y,
affection,POS,1,Y,
affectionate,POS,1,Y,
affinity,POS,1,Y,
affirm,POS,1,Y,
affirmation,POS,1,Y,
affirmative,POS,1,Y,
afflict,NEG,1,Y,
affliction,NEG,1,Y,
afflictive,NEG,1,Y,
affluence,POS,1,Y,
affluent,POS,1,Y,
afford,POS,1,Y,
affordable,POS,1,Y,
affordably,POS,1,Y,
affront,NEG,1,Y,
afordable,POS,1,Y,
afraid,NEG,1,Y,
aggravate,NEG,1,,Y
aggravating,NEG,1,Y,Y
aggravation,NEG,1,Y,
aggression,NEG,1,Y,
aggressive,NEG,1,Y,
aggressiveness,NEG,1,Y,
aggressor,NEG,1,Y,
aggrieve,NEG,1,Y,
aggrieved,NEG,1,Y,
aggrivation,NEG,1,Y,
aghast,NEG,1,Y,
agile,POS,1,Y,
agilely,POS,1,Y,
agility,POS,1,Y,
agonies,NEG,1,Y,
agonize,NEG,1,Y,
agonizing,NEG,1,Y,
agonizingly,NEG,1,Y,
agony,NEG,1,Y,
agreeable,POS,1,Y,
agreeableness,POS,1,Y,
agreeably,POS,1,Y,
aground,NEG,1,Y,
ail,NEG,1,Y,
ailing,NEG,1,Y,
ailment,NEG,1,Y,
aimless,NEG,1,Y,
alarm,NEG,1,Y,
alarmed,NEG,1,Y,
alarming,NEG,1,Y,
alarmingly,NEG,1,Y,
alienate,NEG,1,Y,
alienated,NEG,1,Y,
alienation,NEG,1,Y,
all-around,POS,1,Y,
allegation,NEG,1,Y,
allegations,NEG,1,Y,
allege,NEG,1,Y,
allergic,NEG,1,Y,
allergies,NEG,1,Y,
allergy,NEG,1,Y,
alluring,POS,1,Y,
alluringly,POS,1,Y,
aloof,NEG,1,Y,
altercation,NEG,1,Y,
altruistic,POS,1,Y,
altruistically,POS,1,Y,
amaze,POS,1,Y,
amazed,POS,1,Y,
amazement,POS,1,Y,
amazes,POS,1,Y,
amazing,POS,1,Y,
amazingly,POS,1,Y,
ambiguity,NEG,1,Y,
ambiguous,NEG,1,Y,
ambitious,POS,1,Y,
ambitiously,POS,1,Y,
ambivalence,NEG,1,Y,
ambivalent,NEG,1,Y,
ambush,NEG,1,Y,
ameliorate,POS,1,Y,
amenable,POS,1,Y,
amenity,POS,1,Y,
