TOKEN,LABEL,HEAD,HEAD_WORD,DEP_REL,POS,SUB_TOKENS,REL_GROUP
The,O,1,food,det,DT,,Nominals
food,B-ASP,2,was,nsubj,NN,,Subjects
was,O,2,was,ROOT,VBD,,ROOT
good,B-OP,2,was,acomp,JJ,,Complements
",",O,2,was,punct,",",,Miscellaneous
the,O,7,prompt,det,DT,,Nominals
service,B-ASP,7,prompt,compound,NN,,Compund
prompt,B-OP,1,food,appos,NN,,Nominals
",",O,7,prompt,punct,",",,Miscellaneous
and,O,7,prompt,cc,CC,,Coordination
the,O,11,price,det,DT,,Nominals
price,B-ASP,7,prompt,conj,NN,,Coordination
very,O,13,reasonable,advmod,RB,,Adverbials
reasonable,B-OP,11,price,amod,JJ,,Nominals
.,O,2,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
I,O,1,need,nsubj,PRP,,Subjects
need,O,1,need,ROOT,VBP,,ROOT
at,O,3,least,advmod,RB,,Adverbials
least,O,4,three,advmod,RBS,,Adverbials
three,O,5,rolls,nummod,CD,,Nominals
rolls,B-ASP,7,be,nsubj,NNS,,Subjects
to,O,7,be,aux,TO,,Auxiliaries
be,O,1,need,ccomp,VB,,Complements
full,O,7,be,acomp,JJ,,Complements
",",O,1,need,punct,",",,Miscellaneous
and,O,1,need,cc,CC,,Coordination
that,O,12,'s,nsubj,DT,,Subjects
's,O,1,need,conj,VBZ,' s,Coordination
at,O,14,least,advmod,RB,,Adverbials
least,O,16,14.00,advmod,RBS,,Adverbials
$,O,16,14.00,quantmod,$,,Miscellaneous
14.00,O,12,'s,attr,CD,14 . 00,Objects
!,O,12,'s,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Give,O,6,is,advcl,VB,,Adverbials
it,O,0,Give,dative,PRP,,Objects
a,O,3,try,det,DT,,Nominals
try,O,0,Give,dobj,NN,,Objects
",",O,6,is,punct,",",,Miscellaneous
menu,B-ASP,6,is,nsubj,NN,,Subjects
is,O,6,is,ROOT,VBZ,,ROOT
typical,O,8,French,amod,JJ,,Nominals
French,O,6,is,attr,NNP,,Objects
but,O,8,French,cc,CC,,Coordination
varied,B-OP,8,French,conj,JJ,,Coordination
.,O,6,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
It,O,1,was,nsubj,PRP,,Subjects
was,O,1,was,ROOT,VBD,,ROOT
like,O,5,forgot,mark,IN,,Compund
the,O,4,servers,det,DT,,Nominals
servers,B-ASP,5,forgot,nsubj,NNS,,Subjects
forgot,B-OP,1,was,advcl,VBD,,Adverbials
that,O,9,worked,mark,IN,,Compund
they,O,9,worked,nsubj,PRP,,Subjects
actually,O,9,worked,advmod,RB,,Adverbials
worked,O,5,forgot,ccomp,VBD,,Complements
there,O,9,worked,advmod,RB,,Adverbials
and,O,9,worked,cc,CC,,Coordination
instead,O,13,wanted,advmod,RB,,Adverbials
wanted,O,9,worked,conj,VBD,,Coordination
to,O,15,hang,aux,TO,,Auxiliaries
hang,O,13,wanted,xcomp,VB,,Complements
out,O,15,hang,prt,RP,,Compund
and,O,15,hang,cc,CC,,Coordination
be,O,15,hang,conj,VB,,Coordination
cool,O,18,be,acomp,JJ,,Complements
.,O,1,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Our,O,1,food,poss,PRP$,,Nominals
food,B-ASP,2,was,nsubj,NN,,Subjects
was,O,2,was,ROOT,VBD,,ROOT
great,B-OP,2,was,acomp,JJ,,Complements
too,O,2,was,advmod,RB,,Adverbials
!,O,2,was,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Out,O,11,is,prep,IN,,Coordination
of,O,0,Out,prep,IN,,Coordination
the,O,3,hundreds,det,DT,,Nominals
hundreds,O,1,of,pobj,NNS,,Prepositions
of,O,3,hundreds,prep,IN,,Coordination
Italian,O,6,restaurants,amod,JJ,,Nominals
restaurants,O,4,of,pobj,NNS,,Prepositions
in,O,6,restaurants,prep,IN,,Coordination
Queens,O,7,in,pobj,NNP,,Prepositions
",",O,11,is,punct,",",,Miscellaneous
this,O,11,is,nsubj,DT,,Subjects
is,O,11,is,ROOT,VBZ,,ROOT
among,O,11,is,prep,IN,,Coordination
the,O,14,best,det,DT,,Nominals
best,B-OP,12,among,pobj,JJS,,Prepositions
.,O,11,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
Not,O,3,place,neg,RB,,Negation
a,O,3,place,det,DT,,Nominals
great,B-OP,3,place,amod,JJ,,Nominals
place,B-ASP,3,place,ROOT,NN,,ROOT
for,O,3,place,prep,IN,,Coordination
family,O,4,for,pobj,NN,,Prepositions
or,O,5,family,cc,CC,,Coordination
general,O,8,dining,amod,JJ,,Nominals
dining,O,5,family,conj,NN,,Coordination
.,O,3,place,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
No,O,2,snobs,det,DT,,Nominals
food,B-ASP,2,snobs,compound,NN,,Compund
snobs,O,3,allowed,nsubj,NNS,s ##nob ##s,Subjects
allowed,O,7,is,ccomp,VBN,,Complements
",",O,7,is,punct,",",,Miscellaneous
this,O,6,place,det,DT,,Nominals
place,O,7,is,nsubj,NN,,Subjects
is,O,7,is,ROOT,VBZ,,ROOT
for,O,7,is,prep,IN,,Coordination
people,O,8,for,pobj,NNS,,Prepositions
who,O,11,appreciate,nsubj,WP,,Subjects
appreciate,O,9,people,relcl,VBP,,Nominals
good,B-OP,13,food,amod,JJ,,Nominals
food,B-ASP,11,appreciate,dobj,NN,,Objects
.,O,7,is,punct,.,,Miscellaneous
_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_
But,O,9,find,cc,CC,,Coordination
for,O,9,find,prep,IN,,Coordination
the,O,4,Shabu,det,DT,,Nominals
Shabu,B-ASP,4,Shabu,compound,NNP,sha ##bu,Compund
Shabu,I-ASP,1,for,pobj,NNP,sha ##bu,Prepositions
",",O,9,find,punct,",",,Miscellaneous
you,O,9,find,nsubj,PRP,,Subjects
wo,O,9,find,aux,MD,,Auxiliaries
n't,O,9,find,neg,RB,n ' t,Negation
find,O,9,find,ROOT,VB,,ROOT
