Request type,Message,Message direction,Valid request,Subject head,subject NP,Direct object head,Direct object NP,Indirect object head,Indirect object NP
send,I'll send you the data if you come the office,OUTGOING,FALSE,,,,,,
send,send me the data if you can,INCOMING,TRUE,,,data,the data,me,me
send,send me the invoice today if it's possible,INCOMING,TRUE,,,invoice,the invoice ,me,me
send,If she comes to the office today update her about the current tasks,INCOMING,FALSE,,,,,,
send,you send me on a wild-goose chase all the time!,INCOMING,FALSE,,,,,,
send,Can you please send me the data today?,INCOMING,TRUE,you,you,data,the data,,
update,Please update your issues and we will talk about them with the group,INCOMING,TRUE,you,you,issues,your issues,,
submit,please submit your t-shirt size ,INCOMING,TRUE,,,size,your t-shirt size,,
give,can you give me a short bio,INCOMING,TRUE,you,you,bio,a short bio,,
upload,Could you please upload the file to the forum as well?,INCOMING,TRUE,you,you,file,the file,,
send,please send me the draft of your material ,INCOMING,TRUE,,,draft,the draft of your material,me,me
ask,Could you ask them about that,INCOMING,TRUE,you,you,,,,
send,Please send your results directly to him ,INCOMING,TRUE,,,results,your results,him,him
send ,Please send your slides for the meeting,INCOMING,TRUE,,,slides,your slides,,
post,Please post weekly status ,INCOMING,TRUE,,,status,weekly status,,
add,Could you also add a monthly version of the report,INCOMING,TRUE,you,you,version,a monthly version,,
highlight,could you also please highlight the issues that might be problemtic for us?,INCOMING,TRUE,you,you,issues,the issues,,
add,please add candidates names to the document ,INCOMING,TRUE,,,names,candidates names,,
send,send them to me asap I need them for the meeting,INCOMING,TRUE,,,them,them,me,me
send,This song always sends shivers down my spine ,INCOMING,FALSE,,,,,,
send,This is a reminder for you please send me your slides for tomorrow,INCOMING,TRUE,,,slides,your slides,me,me
send,Just send her your additional requests,INCOMING,TRUE,,,requests,your additional requests,her,her
send,Could you send a total number of the files today?,INCOMING,TRUE,you,you,number,a total number,,
email,Email me your presentation for the meeting,INCOMING,TRUE,,,presentation,your presentation,me,me
send,"You can send me questions, comments, ideas",INCOMING,TRUE,you,you,questions,"any questions, comments, ideas",me,me
send,Could you please send me details about this candidate? ,INCOMING,TRUE,you,you,details,details,me,me
send,Send me information when you have it,INCOMING,TRUE,,,information,information,me,me
send,"Please send your available dates for meetings, we need to find some free time to discuss",INCOMING,TRUE,,,dates,your available dates,,
send,Can you send John's powerpoint please? The one he sent us,INCOMING,TRUE,you,you,powerpoint,John's powerpoint,,
send,please send me a copy of your flight ticket,INCOMING,TRUE,,,copy,a copy of your flight ticket,me,me
send,I'll send you the whole spreadsheet so we can both see,OUTGOING,TRUE,I,I,sheet,the whole spreadsheet,you,you
send,Please send your feedback today,INCOMING,TRUE,,,feedback,your feedback,,
send,I will you send my feeback soon,OUTGOING,TRUE,I,I,feedback,my feedback,you,you
submit,Will you please submit your selection? ,INCOMING,TRUE,you,you,selection,your selection,,
send,"I wonder if you could send me your presentation, that might be helpful I guess",INCOMING,TRUE,you,you,presentation,your presentation,me,me
send,you can send the update if you want,INCOMING,FALSE,,,,,,
send,You must send the data by the end of the day,INCOMING,TRUE,you,you,data,the data,,
send,Should I send him the data?,OUTGOING,FALSE,I,I,data,the data,him,him
send,You need to send the insights ASAP,INCOMING,TRUE,you,you,insights,the insights,,
update,I need to update the list tomorrow,OUTGOING,TRUE,I,I,list,the list,,
add,I could add this topic to my presentation,OUTGOING,FALSE,,,,,,
send,I would send it to you now but I'm still waiting for her update on that,OUTGOING,FALSE,,,,,,
update,Will you be able to update your request?,INCOMING,TRUE,you,you,request,your request,,
send,You might want to send him your tasks today,INCOMING,TRUE,you,you,tasks,your tasks,him,him
submit,Please submit your choice today if possible,INCOMING,TRUE,,,choice,your choice,,
submit,Please submit your choice today if you are at work,INCOMING,FALSE,,,choice,your choice,,
email,Do you need to email him the last results?,INCOMING,FALSE,,,,,,
add,I can add you to the group if you'd like,OUTGOING,FALSE,,,,,,
send,Ok I will send you the money tomorrow. Sorry. ,OUTGOING,TRUE,I,I,money,the money,,
send,"Hi please make sure you send the files today, very important",INCOMING,TRUE,,,files,the files,,
send,I will send you the presents tomorrow ,OUTGOING,TRUE,I,I,presents,the presents,,
send,Just send me the music folder when you have time,INCOMING,TRUE,,,folder,the music folder,me,me
send,Sorry for the delay I had to send the email to the boss,OUTGOING,FALSE,,,,,,
update,I will update him as soon as I know something,OUTGOING,TRUE,I,I,,,him,him
send,you could send it to me now if you want,INCOMING,FALSE,,,,,,
send,let me send it to you now if you're free,OUTGOING,FALSE,,,,,,
add,Do I need to add it to my slides?,OUTGOING,FALSE,,,,,,
give,Hi can you please give me more information about the next session?,INCOMING,TRUE,,,information,more information,me,me
give,I will give you the details ASAP,OUTGOING,TRUE,I,I,details,the details,you,you
send,Please send the paper to the director ,INCOMING,TRUE,,,paper,the paper,director,the director 
send,Please send me the house ,INCOMING,FALSE,,,,,,
send,I will send you the email today,OUTGOING,TRUE,I,I,email,the email ,,
send,I will send you the door,OUTGOING,FALSE,,,,,,
post,Please post your recent update ,INCOMING,TRUE,,,update,your recent update,,
update,Have you updated the recet task?,INCOMING,FALSE,,,,,,
upload,I've already uploaded the files,OUTGOING,FALSE,,,,,,
upload,Please upload the file to its suitable folder,INCOMING,TRUE,,,file,the file,,
upload,Did you upload the file or not?,INCOMING,FALSE,,,,,,
upload,"I will upload all the files by the end of the day, take a look",OUTGOING,TRUE,I,I,files,all the files,,
send,Hi can you please send me the deposit form?,INCOMING,TRUE,you,you,form,the deposit form,me,me
send,"I meant to send you the form yesterday, sorry",OUTGOING,FALSE,,,,,,
send,we need to send them a signal,OUTGOING,FALSE,,,,,,
send,we need to send a clear document to the manager,OUTGOING,TRUE,we,we,document,a clear document ,manager,the manager
add,you can add your slides to the email as well,INCOMING,TRUE,you,you,slides,your slides,,
add,can you add the last discussion to the email?,INCOMING,TRUE,you,you,discussion,the last discussion ,,
submit,"I didn't have the time to submit the docs, sorry",OUTGOING,FALSE,,,,,,
email,I need to email him the last update,OUTGOING,TRUE,I,I,update,the last update,him,him
highlight,I will highlight the important things for you,OUTGOING,TRUE,I,I,things,the important things,you,you
highlight,can you please hightlight your comments?,INCOMING,TRUE,you,you,comments,your comments,,
post,"I will not post it, sorry",OUTGOING,FALSE,,,,,,
post,I never post the tasks I am working on,OUTGOING,FALSE,,,,,,
send,Yes you can send him an email about the prices,INCOMING,TRUE,you,you,email,an email,him,him
send,ok I will send him an email with the full prices,OUTGOING,TRUE,I,I,email,an email,him,him
submit,"If you can, please submit it today",INCOMING,TRUE,you,you,it,it,,
add,I need to add more data to my slides,OUTGOING,TRUE,I,I,data,more data,,
add,I would add more data but I don't have it yet,OUTGOING,FALSE,,,,,,
add,please add more data if possible,INCOMING,TRUE,,,data,more data,,
add,please add more data if you come to the office today,INCOMING,FALSE,,,,,,
update,please update the date when you leave,INCOMING,TRUE,,,date,the date,,
update,I will update the info once I receive an answer about it,OUTGOING,TRUE,I,I,info,the info,,
update,don't forget to update your status,INCOMING,TRUE,,,status,your status ,,
send,I don't think it's a good idea that you send this update today,INCOMING,FALSE,,,,,,
send,please don't forget to send me your report by the EOD,INCOMING,TRUE,,,report,your report,me,me
send,I will send you my report ASAP,OUTGOING,TRUE,I,I,report,my report,,
send,I'd be glad if you could send me the file as soon as you can,INCOMING,TRUE,you,you,file,the file,,
add,please add your comments below,INCOMING,TRUE,comments,your comments,,,,
add,I have nothing else to add,OUTGOING,FALSE,,,,,,
add,"you need to add more info, this is not enough for them I guess",INCOMING,TRUE,you,you,info,more info,,
add,Please add your insights if you have any,INCOMING,FALSE,,,,,,
give,can you give me your details,INCOMING,TRUE,you,you,details,your details,me,me
give,I will give him the recent update,OUTGOING,TRUE,I,I,update,the recent update,him,him
give,No you didn't give me the information needed,INCOMING,FALSE,,,,,,
post,yes please post it when you reach the office,INCOMING,TRUE,,,it,it,,
post,I need to post the information in the forum ,OUTGOING,TRUE,I,I,information,the information ,,
ask,I need to ask him about it,OUTGOING,TRUE,I,I,,,him,him
ask,please ask him for all the information needed,INCOMING,TRUE,,,information,all the information ,him,him
ask,If you can ask him on that it will be great,INCOMING,TRUE,you,you,him,him,,
ask,I forgot to ask him ,OUTGOING,FALSE,I,I,him,him,,
ask,You need to ask her for the presentation,INCOMING,TRUE,you,you,her,her,presentation,the presentation
send,send me your letter today please,INCOMING,TRUE,,,letter,your letter,me,me
send,I will send you the letters today,OUTGOING,TRUE,I,I,letters,the letters,you,you
send,send me your input ASAP please,INCOMING,TRUE,,,input,your input,me,me
send,I will send you the top topics,OUTGOING,TRUE,I,I,topics,the top topics,you,you
